symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
AAPL,Apple Inc.,178.85,-1.7254,-3.14,177.36,183.13,198.23,124.17,2813078069402,187.0868,160.0134,NASDAQ,97263524,55973159,182.13,181.99,5.89,30.37,2023-10-25T00:00:00.000+0000,15728700416,1691438401
ABNB,"Airbnb, Inc.",143.2,2.1617,3.03,138.79,144,154.95,81.91,90252511847,130.7073,114.483025,NASDAQ,3908996,6766248,142,140.17,3.02,47.42,2023-10-30T00:00:00.000+0000,630254971,1691438401
ADBE,Adobe Inc.,529.73,0.5409,2.85,523.52,532.58,552.94,274.73,241450934000,483.99,381.72095,NASDAQ,1727126,3940193,530,526.88,10.51,50.4,2023-09-13T00:00:00.000+0000,455800000,1691438401
ADI,"Analog Devices, Inc.",190.1,0.9291,1.75,188.89,191.37,200.1,133.48,95319558758,188.4338,177.44435,NASDAQ,1947640,3646080,190.7,188.35,7.04,27,2023-08-23T00:00:00.000+0000,501417984,1691438401
ADP,"Automatic Data Processing, Inc.",250.82,2.0589,5.06,246.38,251.015,274.92,201.46,103619512867,225.6782,229.74525,NASDAQ,1266805,1757895,246.89,245.76,7.82,32.07,2023-10-24T00:00:00.000+0000,413123008,1691438401
ADSK,"Autodesk, Inc.",203.715,1.0641,2.145,201.6,204.32,235.01,179.61,43539192090,207.456,203.4275,NASDAQ,835338,1538679,202.52,201.57,3.86,52.78,2023-08-23T00:00:00.000+0000,213726000,1691438401
AEP,"American Electric Power Company, Inc.",80.88,-0.4431,-0.36,80.75,81.97,105.6,80.3,41636296727,84.5768,89.9851,NASDAQ,3264715,3150103,81.5,81.24,3.85,21.01,2023-10-25T00:00:00.000+0000,514791008,1691438400
ALGN,"Align Technology, Inc.",361.25,-0.0526,-0.19,358.3,364.6,413.2,172.05,27641766250,333.7794,283.91464,NASDAQ,547880,757241,361.86,361.44,3.99,90.54,2023-10-25T00:00:00.000+0000,76517000,1691438401
AMAT,"Applied Materials, Inc.",150.38,3.2404,4.72,147.03,150.69,153.28,71.12,126281155063,140.1352,117.3106,NASDAQ,3894269,5995135,147.05,145.66,7.59,19.81,2023-08-17T00:00:00.000+0000,839747008,1691438401
AMD,"Advanced Micro Devices, Inc.",116.81,0.8548,0.99,115.49,119.0799,132.83,54.57,188106159076,116.0496,88.5356,NASDAQ,64608271,71765751,116.36,115.82,0.18,648.94,2023-10-30T00:00:00.000+0000,1610360064,1691438401
AMGN,Amgen Inc.,252.94,3.9707,9.66,243.455,253.82,296.67,211.71,135152673404,226.1294,246.93835,NASDAQ,4076529,2598017,244.25,243.28,14.72,17.18,2023-11-01T00:00:00.000+0000,534327008,1691438401
AMZN,"Amazon.com, Inc.",142.22,1.8987,2.65,138.95,142.54,146.57,81.43,1459234106204,127.8566,105.86745,NASDAQ,69793346,60539312,140.99,139.57,0.42,338.62,2023-10-25T00:00:00.000+0000,10260400128,1691438401
ANSS,"ANSYS, Inc.",306.7,0.6729,2.05,303.0522,309.11,351.23,194.23,26579019483,328.9178,287.2473,NASDAQ,482592,481533,303.69,304.65,6.4,47.92,2023-10-31T00:00:00.000+0000,86661296,1691438401
ASML,ASML Holding N.V.,693.42,2.2683,15.38,684.415,693.43,771.98,363.15,272791428000,714.8848,636.70374,NASDAQ,593996,1073212,690.44,678.04,20.73,33.45,2023-10-18T04:00:00.000+0000,393400000,1691438401
ATVI,"Activision Blizzard, Inc.",91.57,-0.0109,-0.01,91.52,91.85,93.67,70.94,71988577432,85.3392,79.30915,NASDAQ,4958820,10931754,91.79,91.58,2.73,33.54,2023-11-06T00:00:00.000+0000,786158976,1691438401
AVGO,Broadcom Inc.,897.06,1.7479,15.41,885.266,897.35,923.18,415.07,370203198924,854.9206,647.4509,NASDAQ,1068267,3076700,887.68,881.65,31.92,28.1,2023-08-31T00:00:00.000+0000,412684992,1691438401
AZN,AstraZeneca PLC,69.93,0.7637,0.53,69.29,69.99,76.56,52.65,216764811487,70.575,68.5229,NASDAQ,4869218,5113346,69.5,69.4,1.51,46.31,2023-11-09T05:00:00.000+0000,3099739904,1691438401
BIIB,Biogen Inc.,271.23,0.859,2.31,262.96,271.755,319.76,193.65,39258372660,286.2726,285.67075,NASDAQ,1194722,1124358,262.96,268.92,20.95,12.95,2023-10-23T00:00:00.000+0000,144742000,1691438401
BKNG,Booking Holdings Inc.,3243.01,5.8714,179.8501,3079.5,3246.79,3246.79,1616.85,119776358437,2743.3833,2421.9067,NASDAQ,511939,333006,3084.55,3063.16,100.07,32.41,2023-10-31T00:00:00.000+0000,36933700,1691438401
BKR,Baker Hughes Company,35.59,0.7644,0.27,35.34,35.72,36.17,20.42,35933442931,32.0922,29.98115,NASDAQ,5231585,7401540,35.48,35.32,1.15,30.95,2023-10-17T00:00:00.000+0000,1009649984,1691438401
CDNS,"Cadence Design Systems, Inc.",232.44,1.5022,3.44,230.09,233.7,248.16,138.76,63174871319,232.3526,196.01405,NASDAQ,1183656,2002640,230.51,229,3.22,72.19,2023-10-23T00:00:00.000+0000,271790016,1691438401
CEG,Constellation Energy Corporation,103.75,-0.1828,-0.19,102.7753,104.65,104.705,71.16,33657642080,92.5578,85.91778,NASDAQ,1759798,2255437,104.58,103.94,-0.53,-195.75,2023-08-03T00:00:00.000+0000,324411008,1691438401
CHTR,"Charter Communications, Inc.",419.43,0.1361,0.57,415.48,423.03,484.27,297.66,63155675605,362.5658,361.53534,NASDAQ,708830,1193069,419.54,418.86,30.88,13.58,2023-10-26T00:00:00.000+0000,150575008,1691438401
CMCSA,Comcast Corporation,45.45,1.3604,0.61,45.085,45.6,46.44,28.39,189043819546,41.6974,37.98565,NASDAQ,10343761,18774750,45.14,44.84,1.34,33.92,2023-10-25T00:00:00.000+0000,4159379968,1691438401
COST,Costco Wholesale Corporation,558.41,1.1539,6.37,554.99,559.56,571.16,447.9,247458274680,533.4118,502.888,NASDAQ,978028,1814274,554.99,552.04,13.48,41.43,2023-09-26T00:00:00.000+0000,443148000,1691438401
CPRT,"Copart, Inc.",89.48,1.279,1.13,88.63,89.64,94.77,52.285,42721331200,89.0722,73.41888,NASDAQ,1456067,2219104,89.2,88.35,2.41,37.13,2023-09-05T00:00:00.000+0000,477440000,1691438401
